country,year,control_of_corruption_estimate,gdp_growth
Afghanistan,1961,NULL,2.06611432552425
Afghanistan,1965,NULL,25.8333179333346
Afghanistan,1963,NULL,37.3983790283559
Afghanistan,1968,NULL,-17.9282863954541
Afghanistan,1964,NULL,6.50887619341056
Afghanistan,1966,NULL,39.0728535765978
Afghanistan,1971,NULL,4.70141022106352
Afghanistan,1973,NULL,8.6350989231928
Afghanistan,1962,NULL,-0.40485570325693
Afghanistan,1969,NULL,2.58899875451654
Afghanistan,1972,NULL,-12.8639822658902
Afghanistan,1967,NULL,19.5238125714286
Afghanistan,1974,NULL,24.3589821222883
Afghanistan,1976,NULL,7.98122964597036
Afghanistan,1975,NULL,9.79380506663845
Afghanistan,1979,NULL,12.0588024242424
Afghanistan,1970,NULL,24.1323273624062
Afghanistan,1981,NULL,-4.47413310845987
Afghanistan,1978,NULL,11.7381425270961
Afghanistan,1985,NULL,NULL
Afghanistan,1977,NULL,15.565222783274
Afghanistan,1984,NULL,NULL
Afghanistan,1988,NULL,NULL
Afghanistan,1982,NULL,NULL
Afghanistan,1991,NULL,NULL
Afghanistan,1987,NULL,NULL
Afghanistan,1980,NULL,-1.52022695616777
Afghanistan,1989,NULL,NULL
Afghanistan,1998,-1.1760122776,NULL
Afghanistan,1990,NULL,NULL
Afghanistan,1983,NULL,NULL
Afghanistan,2001,NULL,NULL
Afghanistan,1992,NULL,NULL
Afghanistan,1986,NULL,NULL
Afghanistan,1995,NULL,NULL
Afghanistan,1994,NULL,NULL
Afghanistan,2004,-1.3506473303,15.5708499254924
Afghanistan,2002,-1.2511370182,NULL
Afghanistan,1993,NULL,NULL
Afghanistan,2005,-1.4472523928,18.7249604992751
Afghanistan,2008,-1.6720955372,3.70757882307956
Afghanistan,1996,-1.2917047739,NULL
Afghanistan,1999,NULL,NULL
Afghanistan,2011,-1.6004707813,12.2877659633551
Afghanistan,2007,-1.6132510900,39.8196260992464
Afghanistan,1997,NULL,NULL
Afghanistan,2018,-1.5028805733,-3.73389162627208
Afghanistan,2006,-1.4462922812,12.3886829812636
Afghanistan,2009,-1.5522987843,22.8191536775401
Afghanistan,2000,-1.2717242241,NULL
Afghanistan,2021,-1.1523274183,-28.5099731057934
Afghanistan,2014,-1.3647428751,1.74081473862568
Afghanistan,2012,-1.4303728342,11.8069045224374
Afghanistan,2003,-1.3441797495,18.1730157079568
Africa Eastern and Southern,1961,NULL,4.80687906365714
Afghanistan,2017,-1.5319097042,3.51547137271234
Afghanistan,2015,-1.3542398214,-6.6492585601403
Afghanistan,2010,-1.6453911066,27.7100017492569
Africa Eastern and Southern,1968,NULL,8.30419469356523
Afghanistan,2020,-1.4936997890,6.15169853942778
Africa Eastern and Southern,1971,NULL,9.4929959407133
Africa Eastern and Southern,1974,NULL,23.0300918092082
Afghanistan,2023,NULL,NULL
Africa Eastern and Southern,1977,NULL,11.1894038566508
Africa Eastern and Southern,1962,NULL,5.88729647232802
Afghanistan,2022,-1.1837764978,NULL
Afghanistan,2013,-1.4459084272,1.20100292416672
Africa Eastern and Southern,1965,NULL,9.57107906568499
Africa Eastern and Southern,1972,NULL,7.66673523041433
Africa Eastern and Southern,1984,NULL,-7.0564948677392
Afghanistan,2016,-1.5403527021,-5.31847667561251
Africa Eastern and Southern,1964,NULL,9.22366953910011
Africa Eastern and Southern,1975,NULL,6.34254347146849
Africa Eastern and Southern,1987,NULL,21.664165833946
Africa Eastern and Southern,1967,NULL,9.95437958545609
Afghanistan,2019,-1.4194991589,4.13345358222585
Africa Eastern and Southern,1978,NULL,11.6917077839265
Africa Eastern and Southern,1981,NULL,4.32404593679395
Africa Eastern and Southern,1970,NULL,8.93594733023708
Africa Eastern and Southern,1963,NULL,8.46692818870174
Africa Eastern and Southern,1988,NULL,10.2045695790414
Africa Eastern and Southern,1990,NULL,16.5140945814254
Africa Eastern and Southern,1973,NULL,31.3366710591961
Africa Eastern and Southern,1966,NULL,7.93864699897644
Africa Eastern and Southern,1991,NULL,8.22564305527579
Africa Eastern and Southern,1993,NULL,-0.773288025814918
Africa Eastern and Southern,1980,NULL,32.484376988407
Africa Eastern and Southern,1969,NULL,12.5149530641676
Africa Eastern and Southern,1994,NULL,1.17681460354871
Africa Eastern and Southern,1997,NULL,5.60330524550336
Africa Eastern and Southern,1976,NULL,0.112077592446416
Africa Eastern and Southern,1983,NULL,6.69936330506329
Africa Eastern and Southern,2004,NULL,24.3590776956518
Africa Eastern and Southern,1979,NULL,18.9663956589542
Africa Eastern and Southern,1986,NULL,12.940916713922
Africa Eastern and Southern,1982,NULL,-5.50425982930495
Africa Eastern and Southern,2007,NULL,14.7703489415797
Africa Eastern and Southern,1989,NULL,6.29340035364454
Africa Eastern and Southern,1985,NULL,-16.5629949740286
Africa Eastern and Southern,2010,NULL,19.837725346866
Africa Eastern and Southern,1992,NULL,-12.8478334605627
Africa Eastern and Southern,1996,NULL,-0.672435376678275
Africa Eastern and Southern,2017,NULL,15.5432469532859
Africa Eastern and Southern,1995,NULL,12.2972993354629
Africa Eastern and Southern,2020,NULL,-7.68350374669712
Africa Eastern and Southern,1999,NULL,-1.35154195337285
Africa Eastern and Southern,1998,NULL,-5.90663523816159
Africa Eastern and Southern,2023,NULL,NULL
Africa Eastern and Southern,2002,NULL,2.66062915599348
Africa Eastern and Southern,2001,NULL,-8.8243952351779
Africa Western and Central,1963,NULL,6.14216018823136
Africa Eastern and Southern,2009,NULL,1.64541474327039
Africa Eastern and Southern,2005,NULL,16.6683816872625
Africa Western and Central,1966,NULL,6.52662522823527
Africa Eastern and Southern,2012,NULL,0.857216856068909
Africa Eastern and Southern,2008,NULL,7.18281500703666
Africa Western and Central,1969,NULL,13.4523876700244
Africa Eastern and Southern,2015,NULL,-7.39618649224632
Africa Eastern and Southern,2011,NULL,12.0670869490125
Africa Western and Central,1976,NULL,20.7689955883372
Africa Eastern and Southern,2018,NULL,-1.54346289446403
Africa Eastern and Southern,2014,NULL,2.09354582559572
Africa Western and Central,1979,NULL,24.4784686044514
Africa Western and Central,1961,NULL,6.95642432847874
Africa Eastern and Southern,2021,NULL,16.9720962680727
Africa Western and Central,1982,NULL,-11.2985012010844
Africa Western and Central,1962,NULL,7.32573260728395
Africa Western and Central,1968,NULL,3.13275243828655
Africa Western and Central,1985,NULL,1.96441398195943
Africa Western and Central,1965,NULL,7.40672441754034
Africa Western and Central,1971,NULL,-11.3237125524885
Africa Western and Central,1972,NULL,21.2352461162742
Africa Western and Central,1989,NULL,-6.58553575561561
Africa Western and Central,1974,NULL,38.8622367612407
Africa Western and Central,1975,NULL,16.3517514704822
Africa Western and Central,1992,NULL,-4.19190988809455
Africa Western and Central,1977,NULL,5.12803777682536
Africa Western and Central,1978,NULL,9.00927030269159
Africa Western and Central,1995,NULL,54.4852950858021
Africa Western and Central,1981,NULL,88.3437646380598
Africa Western and Central,1984,NULL,-17.2701413739003
Africa Western and Central,1988,NULL,-1.21229800449691
Africa Western and Central,1998,NULL,7.49801109368738
Africa Western and Central,1987,NULL,2.58092921406954
Africa Western and Central,1991,NULL,5.03718574714499
Africa Western and Central,2005,NULL,22.3382427309127
Africa Western and Central,1990,NULL,19.6849775092604
Africa Western and Central,1994,NULL,4.03382929196372
Africa Western and Central,2008,NULL,21.9545136967291
Africa Western and Central,1997,NULL,5.01981259077021
Africa Western and Central,2011,NULL,13.9605048157849
Africa Western and Central,2000,NULL,2.06878708865392
Africa Western and Central,2014,NULL,7.24232379033747
Africa Western and Central,2003,NULL,15.7804475923886
Africa Western and Central,2021,NULL,7.36567351987751
Albania,1962,NULL,NULL
Africa Western and Central,2006,NULL,27.7376385030427
