country,year,rule_of_law_estimate,gdp_growth
Afghanistan,1965,NULL,25.8333179333346
Afghanistan,1962,NULL,-0.40485570325693
Afghanistan,1963,NULL,37.3983790283559
Afghanistan,1968,NULL,-17.9282863954541
Afghanistan,1966,NULL,39.0728535765978
Afghanistan,1973,NULL,8.6350989231928
Afghanistan,1971,NULL,4.70141022106352
Afghanistan,1974,NULL,24.3589821222883
Afghanistan,1981,NULL,-4.47413310845987
Afghanistan,1969,NULL,2.58899875451654
Afghanistan,1976,NULL,7.98122964597036
Afghanistan,1984,NULL,NULL
Afghanistan,1972,NULL,-12.8639822658902
Afghanistan,1975,NULL,9.79380506663845
Afghanistan,1978,NULL,11.7381425270961
Afghanistan,1979,NULL,12.0588024242424
Afghanistan,1987,NULL,NULL
Afghanistan,1985,NULL,NULL
Afghanistan,1990,NULL,NULL
Afghanistan,1994,NULL,NULL
Afghanistan,1988,NULL,NULL
Afghanistan,1982,NULL,NULL
Afghanistan,1997,NULL,NULL
Afghanistan,2000,-1.7806607485,NULL
Afghanistan,1991,NULL,NULL
Afghanistan,2003,-1.5582937002,18.1730157079568
Afghanistan,1998,-1.7348867655,NULL
Afghanistan,2001,NULL,NULL
Afghanistan,2010,-1.8700580597,27.7100017492569
Afghanistan,1989,NULL,NULL
Afghanistan,2013,-1.6091115475,1.20100292416672
Afghanistan,1992,NULL,NULL
Afghanistan,2016,-1.5207139254,-5.31847667561251
Afghanistan,1995,NULL,NULL
Afghanistan,2019,-1.7413188219,4.13345358222585
Afghanistan,2002,-1.6734732389,NULL
Afghanistan,1961,NULL,2.06611432552425
Africa Eastern and Southern,1963,NULL,8.46692818870174
Afghanistan,1964,NULL,6.50887619341056
Afghanistan,2005,-1.6629655361,18.7249604992751
Afghanistan,1967,NULL,19.5238125714286
Africa Eastern and Southern,1966,NULL,7.93864699897644
Afghanistan,1970,NULL,24.1323273624062
Afghanistan,1977,NULL,15.565222783274
Afghanistan,1980,NULL,-1.52022695616777
Afghanistan,1983,NULL,NULL
Africa Eastern and Southern,1969,NULL,12.5149530641676
Afghanistan,2008,-1.9033075571,3.70757882307956
Afghanistan,2004,-1.6939252615,15.5708499254924
Afghanistan,2011,-1.9225001335,12.2877659633551
Africa Eastern and Southern,1976,NULL,0.112077592446416
Afghanistan,2007,-1.8525600433,39.8196260992464
Afghanistan,2018,-1.6885867119,-3.73389162627208
Afghanistan,2014,-1.4370445013,1.74081473862568
Afghanistan,2021,-1.8763568401,-28.5099731057934
Afghanistan,2017,-1.5837368965,3.51547137271234
Africa Eastern and Southern,1961,NULL,4.80687906365714
Africa Eastern and Southern,1968,NULL,8.30419469356523
Afghanistan,2020,-1.8313742876,6.15169853942778
Africa Eastern and Southern,1971,NULL,9.4929959407133
Africa Eastern and Southern,1974,NULL,23.0300918092082
Africa Eastern and Southern,1977,NULL,11.1894038566508
Afghanistan,1986,NULL,NULL
Afghanistan,1993,NULL,NULL
Afghanistan,1996,-1.7880754471,NULL
Africa Eastern and Southern,1979,NULL,18.9663956589542
Afghanistan,2023,NULL,NULL
Afghanistan,1999,NULL,NULL
Africa Eastern and Southern,1982,NULL,-5.50425982930495
Africa Eastern and Southern,1962,NULL,5.88729647232802
Afghanistan,2006,-1.8790048361,12.3886829812636
Africa Eastern and Southern,1985,NULL,-16.5629949740286
Africa Eastern and Southern,1965,NULL,9.57107906568499
Afghanistan,2009,-1.8761187792,22.8191536775401
Africa Eastern and Southern,1972,NULL,7.66673523041433
Africa Eastern and Southern,1992,NULL,-12.8478334605627
Afghanistan,2012,-1.6518931389,11.8069045224374
Africa Eastern and Southern,1995,NULL,12.2972993354629
Afghanistan,2015,-1.5152026415,-6.6492585601403
Afghanistan,2022,-1.6584422588,NULL
Africa Eastern and Southern,1984,NULL,-7.0564948677392
Africa Eastern and Southern,1964,NULL,9.22366953910011
Africa Eastern and Southern,1998,NULL,-5.90663523816159
Africa Eastern and Southern,1967,NULL,9.95437958545609
Africa Eastern and Southern,2001,NULL,-8.8243952351779
Africa Eastern and Southern,1970,NULL,8.93594733023708
Africa Eastern and Southern,2005,NULL,16.6683816872625
Africa Eastern and Southern,1973,NULL,31.3366710591961
Africa Eastern and Southern,2008,NULL,7.18281500703666
Africa Eastern and Southern,1980,NULL,32.484376988407
Africa Eastern and Southern,2011,NULL,12.0670869490125
Africa Eastern and Southern,1983,NULL,6.69936330506329
Africa Eastern and Southern,2014,NULL,2.09354582559572
Africa Eastern and Southern,1986,NULL,12.940916713922
Africa Eastern and Southern,2021,NULL,16.9720962680727
Africa Western and Central,1962,NULL,7.32573260728395
Africa Eastern and Southern,1989,NULL,6.29340035364454
Africa Western and Central,1965,NULL,7.40672441754034
Africa Eastern and Southern,1996,NULL,-0.672435376678275
Africa Eastern and Southern,1999,NULL,-1.35154195337285
Africa Western and Central,1972,NULL,21.2352461162742
Africa Eastern and Southern,2002,NULL,2.66062915599348
Africa Western and Central,1975,NULL,16.3517514704822
Africa Western and Central,1978,NULL,9.00927030269159
Africa Eastern and Southern,1975,NULL,6.34254347146849
Africa Western and Central,1981,NULL,88.3437646380598
Africa Eastern and Southern,1978,NULL,11.6917077839265
Africa Western and Central,1988,NULL,-1.21229800449691
Africa Eastern and Southern,1981,NULL,4.32404593679395
Africa Western and Central,1991,NULL,5.03718574714499
Africa Eastern and Southern,1988,NULL,10.2045695790414
Africa Western and Central,1994,NULL,4.03382929196372
Africa Western and Central,2001,NULL,5.27495181237611
Africa Western and Central,2004,NULL,23.965481374065
Africa Western and Central,2007,NULL,17.5597684580327
Africa Western and Central,2010,NULL,17.7219739113921
Africa Western and Central,2017,NULL,-0.936933401863262
Africa Western and Central,2020,NULL,-4.42590247888997
Africa Western and Central,2023,NULL,NULL
Albania,1961,NULL,NULL
Africa Eastern and Southern,1991,NULL,8.22564305527579
Albania,1964,NULL,NULL
Africa Eastern and Southern,1994,NULL,1.17681460354871
Albania,1967,NULL,NULL
Africa Eastern and Southern,1997,NULL,5.60330524550336
Albania,1974,NULL,NULL
Africa Eastern and Southern,2004,NULL,24.3590776956518
Albania,1977,NULL,NULL
Albania,1980,NULL,NULL
Africa Eastern and Southern,2007,NULL,14.7703489415797
Africa Eastern and Southern,2009,NULL,1.64541474327039
Africa Eastern and Southern,2010,NULL,19.837725346866
Africa Eastern and Southern,2012,NULL,0.857216856068909
Africa Eastern and Southern,2015,NULL,-7.39618649224632
Africa Eastern and Southern,2018,NULL,-1.54346289446403
Africa Western and Central,1961,NULL,6.95642432847874
Africa Western and Central,1968,NULL,3.13275243828655
Africa Western and Central,1971,NULL,-11.3237125524885
Albania,1983,NULL,NULL
Africa Eastern and Southern,1987,NULL,21.664165833946
Albania,1990,NULL,-9.96570555177385
Albania,1993,NULL,81.748073694873
Africa Eastern and Southern,1990,NULL,16.5140945814254
Albania,1996,-0.6844817996,33.7214865763863
Albania,2003,-0.7163234949,29.0572271114104
Albania,2006,-0.7031358480,10.4817389368014
Africa Eastern and Southern,1993,NULL,-0.773288025814918
Africa Eastern and Southern,2017,NULL,15.5432469532859
Africa Eastern and Southern,2020,NULL,-7.68350374669712
Albania,2009,-0.4943701625,-6.49891100132709
Africa Eastern and Southern,2023,NULL,NULL
Albania,2012,-0.5198397636,-4.42895586836156
Africa Western and Central,1963,NULL,6.14216018823136
Albania,2019,-0.4253788292,1.61913277948166
Africa Western and Central,1966,NULL,6.52662522823527
Africa Western and Central,1969,NULL,13.4523876700244
Albania,2022,-0.1657790989,5.49794698188805
Africa Western and Central,1976,NULL,20.7689955883372
Algeria,1963,NULL,35.0515675558485
Africa Western and Central,1979,NULL,24.4784686044514
Algeria,1970,NULL,14.2409549644808
